images_path,images_label,images_predicted_label
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-61.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-981.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-1206.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-854.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-828.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-108.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-789.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-837.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-446.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-1191.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-1171.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-144.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-1005.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-1127.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-579.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-106.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-1011.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-1294.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-22.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-33.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-390.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-148.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-870.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-357.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-1281.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-65.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-682.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-994.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-713.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-482.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-549.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-635.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-605.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-618.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-200.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-105.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-1243.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-373.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-1095.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-73.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-780.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-1042.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-9.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-676.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-228.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-504.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-198.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-949.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-946.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-287.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-881.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-378.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-749.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-383.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-608.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-661.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-1048.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-427.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-1041.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-779.png,pneumonia,pneumonia
../COVID-19_Radiography_Dataset/Viral Pneumonia/images\Viral Pneumonia-271.png,pneumonia,pneumonia
